"secs","kph","rpm","watts","hr","torq","km","g"
486.36,28.6,87,173,125,7.5,3.661,2.61
488.88,28.7,92,160,125,6.9,3.681,2.48
491.4,28.8,89,171,125,7.3,3.702,2.57
493.92,29,88,207,125,8.8,3.722,2.62
496.44,29.3,90,190,125,8,3.741,2.58
498.96,29.8,91,174,125,7.2,3.763,2.6
501.48,30.3,90,136,126,5.5,3.784,2.67
504,31,96,139,127,5.5,3.806,2.56
506.52,31.6,106,127,128,5,3.827,2.37
509.04,31.3,106,126,129,5,3.849,2.34
511.56,31.6,106,142,130,5.5,3.873,2.37
514.08,32,97,132,131,5.1,3.894,2.62
516.6,32.2,100,89,131,3.4,3.918,2.56
519.12,32.7,77,99,131,3.7,3.939,3.37
521.64,32.4,97,157,131,6,3.963,2.65
524.16,31.6,90,133,131,5.2,3.985,2.79
526.68,30.6,116,109,131,4.4,4.006,2.09
529.2,30.8,138,99,131,4,4.028,1.77
531.72,32.7,104,111,0,4.2,4.049,2.5
534.24,35.2,107,55,0,1.9,4.075,2.61
536.76,35.8,116,52,0,1.8,4.099,2.45
539.28,35.5,81,88,0,3.1,4.125,3.48
541.8,34.8,57,54,0,1.9,4.148,4.85
544.32,34.3,79,97,0,3.5,4.172,3.45
546.84,33.2,92,30,0,1.1,4.196,2.86
549.36,31.9,92,137,0,5.3,4.219,2.75
551.88,32.1,84,132,108,5.1,4.241,3.03
554.4,32.5,91,155,110,5.9,4.265,2.83
556.92,33.1,87,148,110,5.5,4.286,3.02
559.44,32.4,85,190,111,7.2,4.31,3.03
561.96,32,82,211,112,8.1,4.332,3.1
564.48,31,85,139,112,5.5,4.353,2.89
567,30.8,92,161,112,6.4,4.375,2.66
569.52,31.4,100,144,117,5.6,4.398,2.49
572.04,32,96,120,118,4.6,4.42,2.65
574.56,32.2,85,124,119,4.7,4.441,3.01
577.08,31.8,92,192,122,7.5,4.465,2.74
579.6,30.7,90,168,123,6.8,4.487,2.71
582.12,29,85,196,124,8.4,4.506,2.71
584.64,28.1,79,244,124,10.7,4.528,2.82
587.16,28,81,259,126,11.4,4.547,2.74
589.68,28.4,83,187,129,8.1,4.566,2.72
592.2,28.4,78,148,134,6.4,4.586,2.89
594.72,28.5,81,122,134,5.3,4.605,2.79
597.24,28.5,77,107,135,4.6,4.627,2.94
599.76,28.4,79,109,137,4.7,4.646,2.85
602.28,28.4,82,117,137,5.1,4.666,2.75
604.8,28.4,107,148,137,6.4,4.685,2.11
607.32,28.8,85,127,136,5.4,4.706,2.69
609.84,29.3,90,118,136,5,4.726,2.58
612.36,30.1,63,102,133,4.2,4.747,3.79
614.88,30.4,83,19,133,0.8,4.769,2.91
617.4,29.2,96,48,126,2,4.788,2.41
619.92,27.7,0,0,120,0,4.808,NA
622.44,24.1,42,241,119,12.3,4.825,4.55
624.96,24.6,67,245,119,12.3,4.842,2.91
627.48,25.2,71,101,120,5,4.86,2.82
630,23.9,0,0,120,0,4.877,NA
632.52,20.9,0,0,120,0,4.892,NA
635.04,16.8,0,0,113,0,4.905,NA
637.56,15.7,0,201,113,15.8,4.916,NA
640.08,19.9,51,205,113,12.8,4.928,3.1
642.6,23.6,63,168,113,8.8,4.944,2.97
645.12,24.8,71,156,115,7.8,4.961,2.77
647.64,25.9,95,116,123,5.5,4.98,2.16
650.16,26.3,73,152,122,7.1,4.997,2.86
652.68,26.7,78,161,122,7.5,5.017,2.72
